Time_hours,Time_minutes,Sensor,Type,Measurement
0.0,0.0,AMI-701-A-P,AMI,-253.9139
0.25,15.0,AMI-701-A-P,AMI,-250.46576
0.5,30.0,AMI-701-A-P,AMI,-255.56812
0.75,45.0,AMI-701-A-P,AMI,-252.13686
1.0,60.0,AMI-701-A-P,AMI,-257.30896
1.25,75.0,AMI-701-A-P,AMI,-253.61496
1.5,90.0,AMI-701-A-P,AMI,-258.7437
1.75,105.0,AMI-701-A-P,AMI,-255.36096
2.0,120.0,AMI-701-A-P,AMI,-260.2351
2.25,135.0,AMI-701-A-P,AMI,-256.91553
2.5,150.0,AMI-701-A-P,AMI,-261.59155
2.75,165.0,AMI-701-A-P,AMI,-258.17108
3.0,180.0,AMI-701-A-P,AMI,-262.75375
3.25,195.0,AMI-701-A-P,AMI,-259.16113
3.5,210.0,AMI-701-A-P,AMI,-263.92923
3.75,225.0,AMI-701-A-P,AMI,-260.17337
4.0,240.0,AMI-701-A-P,AMI,-264.78714
4.25,255.0,AMI-701-A-P,AMI,-260.90176
4.5,270.0,AMI-701-A-P,AMI,-265.59174
4.75,285.0,AMI-701-A-P,AMI,-261.68274
5.0,300.0,AMI-701-A-P,AMI,-266.21002
5.25,315.0,AMI-701-A-P,AMI,-270.10907
5.5,330.0,AMI-701-A-P,AMI,-282.5929
5.75,345.0,AMI-701-A-P,AMI,-286.20343
6.0,360.0,AMI-701-A-P,AMI,-298.30966
6.25,375.0,AMI-701-A-P,AMI,-301.85938
6.5,390.0,AMI-701-A-P,AMI,-313.98853
6.75,405.0,AMI-701-A-P,AMI,-317.36313
7.0,420.0,AMI-701-A-P,AMI,-329.48352
7.25,435.0,AMI-701-A-P,AMI,-333.38986
7.5,450.0,AMI-701-A-P,AMI,-345.5871
7.75,465.0,AMI-701-A-P,AMI,-348.77924
8.0,480.0,AMI-701-A-P,AMI,-360.81
8.25,495.0,AMI-701-A-P,AMI,-364.43506
8.5,510.0,AMI-701-A-P,AMI,-376.1611
8.75,525.0,AMI-701-A-P,AMI,-379.0857
9.0,540.0,AMI-701-A-P,AMI,-413.05368
9.25,555.0,AMI-701-A-P,AMI,-407.9344
9.5,570.0,AMI-701-A-P,AMI,-411.4723
9.75,585.0,AMI-701-A-P,AMI,-406.5589
10.0,600.0,AMI-701-A-P,AMI,-410.13782
10.25,615.0,AMI-701-A-P,AMI,-405.1457
10.5,630.0,AMI-701-A-P,AMI,-408.83914
10.75,645.0,AMI-701-A-P,AMI,-403.56494
11.0,660.0,AMI-701-A-P,AMI,-407.13922
11.25,675.0,AMI-701-A-P,AMI,-402.06717
11.5,690.0,AMI-701-A-P,AMI,-405.63293
11.75,705.0,AMI-701-A-P,AMI,-400.30768
12.0,720.0,AMI-701-A-P,AMI,-403.93857
12.25,735.0,AMI-701-A-P,AMI,-393.0768
12.5,750.0,AMI-701-A-P,AMI,-391.4738
12.75,765.0,AMI-701-A-P,AMI,-380.83884
13.0,780.0,AMI-701-A-P,AMI,-379.17252
13.25,795.0,AMI-701-A-P,AMI,-368.4274
13.5,810.0,AMI-701-A-P,AMI,-366.7075
13.75,825.0,AMI-701-A-P,AMI,-356.28613
14.0,840.0,AMI-701-A-P,AMI,-354.60602
14.25,855.0,AMI-701-A-P,AMI,-353.80322
14.5,870.0,AMI-701-A-P,AMI,-361.8509
14.75,885.0,AMI-701-A-P,AMI,-360.89282
15.0,900.0,AMI-701-A-P,AMI,-369.0329
15.25,915.0,AMI-701-A-P,AMI,-368.4253
15.5,930.0,AMI-701-A-P,AMI,-376.54886
15.75,945.0,AMI-701-A-P,AMI,-375.98315
16.0,960.0,AMI-701-A-P,AMI,-384.10275
16.25,975.0,AMI-701-A-P,AMI,-383.49042
16.5,990.0,AMI-701-A-P,AMI,-391.9694
16.75,1005.0,AMI-701-A-P,AMI,-391.6579
17.0,1020.0,AMI-701-A-P,AMI,-399.9431
17.25,1035.0,AMI-701-A-P,AMI,-399.7495
17.5,1050.0,AMI-701-A-P,AMI,-408.2291
17.75,1065.0,AMI-701-A-P,AMI,-407.95755
18.0,1080.0,AMI-701-A-P,AMI,-416.65448
18.25,1095.0,AMI-701-A-P,AMI,-417.00845
18.5,1110.0,AMI-701-A-P,AMI,-425.75226
18.75,1125.0,AMI-701-A-P,AMI,-425.76132
19.0,1140.0,AMI-701-A-P,AMI,-434.73648
19.25,1155.0,AMI-701-A-P,AMI,-433.2079
19.5,1170.0,AMI-701-A-P,AMI,-440.46695
19.75,1185.0,AMI-701-A-P,AMI,-439.3826
20.0,1200.0,AMI-701-A-P,AMI,-447.2708
20.25,1215.0,AMI-701-A-P,AMI,-446.1148
20.5,1230.0,AMI-701-A-P,AMI,-453.53482
20.75,1245.0,AMI-701-A-P,AMI,-452.43427
21.0,1260.0,AMI-701-A-P,AMI,-460.1775
21.25,1275.0,AMI-701-A-P,AMI,-442.00146
21.5,1290.0,AMI-701-A-P,AMI,-432.67523
21.75,1305.0,AMI-701-A-P,AMI,-414.51227
22.0,1320.0,AMI-701-A-P,AMI,-405.28967
22.25,1335.0,AMI-701-A-P,AMI,-386.83582
22.5,1350.0,AMI-701-A-P,AMI,-377.90338
22.75,1365.0,AMI-701-A-P,AMI,-359.72726
23.0,1380.0,AMI-701-A-P,AMI,-350.3868
23.25,1395.0,AMI-701-A-P,AMI,-332.3662
23.5,1410.0,AMI-701-A-P,AMI,-323.37695
23.75,1425.0,AMI-701-A-P,AMI,-305.7282
0.0,0.0,PMU-705-A-Vmag,PMU,1.7566468
0.08,4.7999997,PMU-705-A-Vmag,PMU,1.7567972
0.16,9.599999,PMU-705-A-Vmag,PMU,1.756043
0.24,14.4,PMU-705-A-Vmag,PMU,1.7560124
0.32,19.199999,PMU-705-A-Vmag,PMU,1.7559736
0.4,24.0,PMU-705-A-Vmag,PMU,1.7560703
0.48,28.8,PMU-705-A-Vmag,PMU,1.7558432
0.56,33.6,PMU-705-A-Vmag,PMU,1.7554219
0.64,38.399998,PMU-705-A-Vmag,PMU,1.7553134
0.72,43.2,PMU-705-A-Vmag,PMU,1.7551222
0.8,48.0,PMU-705-A-Vmag,PMU,1.7554129
0.88,52.8,PMU-705-A-Vmag,PMU,1.7549059
0.96,57.6,PMU-705-A-Vmag,PMU,1.7548887
1.04,62.399998,PMU-705-A-Vmag,PMU,1.754187
1.12,67.2,PMU-705-A-Vmag,PMU,1.754723
1.2,72.0,PMU-705-A-Vmag,PMU,1.75432
1.28,76.799995,PMU-705-A-Vmag,PMU,1.7545321
1.36,81.6,PMU-705-A-Vmag,PMU,1.7536463
1.44,86.4,PMU-705-A-Vmag,PMU,1.7540196
1.52,91.2,PMU-705-A-Vmag,PMU,1.7535012
1.6,96.0,PMU-705-A-Vmag,PMU,1.7541041
1.68,100.799995,PMU-705-A-Vmag,PMU,1.7533776
1.76,105.6,PMU-705-A-Vmag,PMU,1.753483
1.84,110.4,PMU-705-A-Vmag,PMU,1.7528137
1.92,115.2,PMU-705-A-Vmag,PMU,1.7532442
2.0,120.0,PMU-705-A-Vmag,PMU,1.7529905
2.08,124.799995,PMU-705-A-Vmag,PMU,1.7530712
2.16,129.6,PMU-705-A-Vmag,PMU,1.7524927
2.24,134.4,PMU-705-A-Vmag,PMU,1.752404
2.32,139.2,PMU-705-A-Vmag,PMU,1.7523773
2.4,144.0,PMU-705-A-Vmag,PMU,1.7525191
2.48,148.8,PMU-705-A-Vmag,PMU,1.7523477
2.56,153.59999,PMU-705-A-Vmag,PMU,1.7518978
2.64,158.40001,PMU-705-A-Vmag,PMU,1.7517971
2.72,163.2,PMU-705-A-Vmag,PMU,1.7516942
2.8,168.0,PMU-705-A-Vmag,PMU,1.7520821
